DidaID,DEO1,DEO2,RecA,EssA,DEO3,DEO4,RecB,EssB,Path,DE,Pair
dd148,0.796506812705,0,0.7138,1.0,2.0,0,0.6812,1.0,0,TD,GDNF_RET
dd220,0.558474475903,0,0.7373,1.0,0.662739780126,0,0.6032,1.0,1,CO,NEUROD1_PDX1
dd223,0.837221052666,0,0.2135,0.0,2.0,0,0.2303,0.0,0,TD,PRPH2_ROM1
dd222,0.837221052666,0,0.2135,0.0,2.0,0,0.2303,0.0,0,TD,PRPH2_ROM1
dd144,0.875038848499,0,0.3367,0.0,0.569198992677,0,0.2578,1.0,0,CO,SCN5A_KCNQ1
dd145,0.256149750885,0,0.375,1.0,2.0,0,0.4388,0.0,0,TD,SLC26A4_KCNJ10
dd146,0.556573225018,0,0.375,1.0,0.724695410297,0,0.4388,0.0,0,TD,SLC26A4_KCNJ10
dd147,2.0,0,0.3367,0.0,0.839287805026,0,0.2578,1.0,0,CO,SCN5A_KCNQ1
dd029,2.0,0.537199950034,0.8931,1.0,0.51800174043,0,0.3662,1.0,0,CO,TYR_OCA2
dd023,0.0549201486467,0,0.5406,0.0,0.711182257416,0,0.1762,0.0,1,TD,PARK7_PINK1
dd022,0.518267806038,0,0.7293,1.0,0,0,0.6812,1.0,0,TD,EDNRB_RET
dd021,0.0899065398734,0.0899065398734,0.1289,0.0,0.2364077179,0.2364077179,0.0899,0.0,0,TD,OTUD4_RNF216
dd020,2.0,2.0,0.1057,0.0,0.803694477927,0,0.2499,1.0,0,CO,TJP2_BAAT
dd027,0.132205428974,0,0.4104,0.0,0.800032117002,0,0.6197,0.0,0,TD,CYP1B1_MYOC
dd026,0.772216703537,0,0.4104,0.0,0.800032117002,0,0.6197,0.0,0,CO,CYP1B1_MYOC
dd024,2.0,2.0,0.4784,0.0,0.262317247428,0,0.1762,0.0,1,CO,PARK2_PINK1
dd034,0.62779655386,0,0.4323,0.0,0.979677736137,0.979677736137,0.2732,0.0,1,CO,SLC3A1_SLC7A9
dd035,0.62779655386,0,0.4323,0.0,0.979677736137,0,0.2732,0.0,1,CO,SLC3A1_SLC7A9
